"","No.of.Labels","Train.Acc.e1071","Test.Acc.e1071","Train.Acc.fastnaive","Test.Acc.fastnaive","Train.Acc.Model","Test.Acc.Model"
"1",2,0.669987546699875,0.57874659400545,0.691905354919053,0.616076294277929,0.679867164798672,0.608719346049046
"2",3,0.399324095978371,0.324833702882483,0.598107468739439,0.47960088691796,0.583507941872254,0.476274944567627
"3",4,0.24012885411873,0.182930513595166,0.507547169811321,0.339577039274924,0.494891854578923,0.342900302114804
"4",5,0.159528631927822,0.124712990936556,0.459215614067391,0.265740181268882,0.443748849199043,0.267311178247734
"5",6,0.102768681155106,0.09052734375,0.427954748437035,0.22158203125,0.41003274784162,0.2234375
