"","min.frequecny","train.acc","val.acc"
"1",10,0.468842813112917,0.227969348659004
"2",15,0.434085177920986,0.226372924648787
"3",20,0.402801905295601,0.222669220945083
"4",25,0.379728215186327,0.226947637292465
"5",30,0.364864107593163,0.224329501915709
